,Date,Origin ID,Origin Name,Destination ID,Destination Name,Daily Mean Travel Time,Daily Range - Lower,Daily Range - Upper,AM Mean Travel Time,AM Range - Lower,AM Range - Upper,PM Mean Travel Time,PM Range - Lower Bound Travel Time,PM Range - Upper Bound Travel Time,Midday Mean Travel Time,Midday Range - Lower,Midday Range - Upper,Evening Mean Travel Time,Evening Range - Lower,Evening Range - Upper,Early Morning Mean Travel Time,Early Morning Range - Lower,Early Morning Range - Upper,weekday,pred_daily_mean,month
1072,2019-05-01,3692,"2nd Street and Stevenson Street, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",548.0,338.0,888.0,582.0,339.0,1001.0,674.0,479.0,948.0,535.0,334.0,854.0,426.0,293.0,618.0,310.0,196.0,491.0,2,581.6546134276099,6
1073,2019-06-24,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1379.0,1122.0,1695.0,1428.0,1251.0,1629.0,1560.0,1276.0,1875.5,1511.0,1264.0,1808.0,1235.0,1003.0,1526.3149171270716,1015.0,851.0,1211.0,0,1405.0966152736094,7
1074,2019-04-26,3692,"2nd Street and Stevenson Street, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",795.0,563.0,1122.0,939.0,750.0,1177.0,899.0,674.0,1199.0,769.0,568.0,1041.0,788.0,550.0,1129.0,568.0,388.0,832.0,4,763.2165618270601,5
1075,2019-05-26,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",487.0,309.0,769.0,383.0,272.0,540.0,565.0,365.0,875.0,533.0,343.0,829.0,403.0,264.0,614.0,443.0,262.0,749.0,6,584.0375800260385,6
1076,2019-04-03,3692,"2nd Street and Stevenson Street, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",788.0,573.0,1082.0,895.0,760.0,1054.0,1016.0,766.0,1347.0,839.0,591.0,1193.0,665.0,535.0,826.0,605.0,490.0,748.0,2,752.9389743959897,5
1077,2019-05-17,3692,"2nd Street and Stevenson Street, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1396.0,986.0,1975.0,1285.0,1053.0,1567.0,1991.0,1216.0,3259.0,1225.0,1027.0,1462.0,1217.0,966.0,1485.5,810.0742786985891,633.5,1139.0,4,1237.4597155108565,6
1078,2019-05-04,3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",966.0,718.0,1300.0,717.5,580.0,890.0,1203.0,897.0,1613.0,941.0,745.0,1189.0,853.0,680.0,1070.0,716.0,562.0,913.0,5,944.8580308684517,6
1079,2019-04-22,3692,"2nd Street and Stevenson Street, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1317.0,1040.0,1668.0,1276.2363413136895,1041.5,1560.0,1540.0,1225.0,1936.0,1180.0,962.0,1447.0,1158.0,969.0,1380.5,741.4223449969309,577.0,978.0,0,1196.9078403234184,5
1080,2019-04-28,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",468.0,312.0,701.0,423.0,306.0,583.0,457.0,343.0,609.0,514.0,338.0,781.0,533.0,338.0,838.0,288.0,212.0,392.0,6,582.7796786086544,5
1081,2019-06-21,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1482.0,1185.0,1854.0,1420.0,1132.0,1780.0,1801.0,1465.0,2213.0,1552.0,1342.0,1795.0,1323.0,1190.0,1471.0,1006.5,849.5,1413.8477593615717,4,1444.390589043663,7
